iter	Logloss
0	0.6882250557
1	0.6827376621
2	0.6757219891
3	0.6682682695
4	0.6625525059
5	0.6564180749
6	0.6504821633
7	0.6455680258
8	0.6415473775
9	0.6367825852
10	0.6298877893
11	0.6249086434
12	0.6210122989
13	0.6165916969
14	0.6116912895
15	0.6082986584
16	0.6040099316
17	0.5977515758
18	0.5926912711
19	0.5885690788
20	0.5838784082
21	0.5779707373
22	0.5735898563
23	0.5703446443
24	0.5663836264
25	0.5615878814
26	0.5578621368
27	0.5528071052
28	0.54784082
29	0.5445603399
30	0.5407268022
31	0.5361051102
32	0.5313863686
33	0.5268518557
34	0.5228417562
35	0.5187210207
36	0.5143824874
37	0.5108172039
38	0.5068884411
39	0.5024558694
40	0.4988425107
41	0.4943022871
42	0.489609826
43	0.4870525098
44	0.483458866
45	0.4810175666
46	0.4768288128
47	0.472416827
48	0.4699640636
49	0.4669371489
50	0.4641560479
51	0.4615695961
52	0.4587500294
53	0.4548614998
54	0.4513824349
55	0.4491981495
56	0.4458026251
57	0.4425901454
58	0.4398373101
59	0.4376178293
60	0.4334033626
61	0.4304231666
62	0.4287691599
63	0.4260684736
64	0.4233020584
65	0.4203615686
66	0.4178398429
67	0.4144739063
68	0.4128016687
69	0.4103550673
70	0.4085466634
71	0.4059706991
72	0.4037025996
73	0.4010695589
74	0.3984904689
75	0.3965374631
76	0.3934421934
77	0.3913477685
78	0.3894793192
79	0.3869470203
80	0.3851898836
81	0.3829379634
82	0.3812243606
83	0.3785184111
84	0.3765843784
85	0.3746984443
86	0.373259407
87	0.3708464676
88	0.3692322205
89	0.3675153312
90	0.3659287887
91	0.3648031285
92	0.3628883962
93	0.3615043717
94	0.3586417579
95	0.3571479198
96	0.3553249557
97	0.3542700308
98	0.3520792763
99	0.3500153756
100	0.3478218568
101	0.3459078801
102	0.3441007009
103	0.3424207988
104	0.3407518032
105	0.3389039231
106	0.3374791431
107	0.3357767585
108	0.3345223919
109	0.3322774285
110	0.3310369613
111	0.3295284004
112	0.3275195205
113	0.3260703565
114	0.3240986408
115	0.3224493487
116	0.3215684586
117	0.3201795884
118	0.318599059
119	0.3169272164
120	0.3158190143
121	0.3138863527
122	0.3124358768
123	0.3108110461
124	0.3100583576
125	0.308590901
126	0.3070851849
127	0.3060146826
128	0.3046466526
129	0.3028700411
130	0.3017756616
131	0.3003331771
132	0.2992449591
133	0.2974549985
134	0.2962441802
135	0.2951777852
136	0.2942142471
137	0.2932972867
138	0.2921695291
139	0.2905599135
140	0.2890931181
141	0.2878892634
142	0.2868431563
143	0.2855896919
144	0.2842982866
145	0.2829833448
146	0.2816177036
147	0.2807732468
148	0.2798654184
149	0.278390133
150	0.2776361267
151	0.2764032267
152	0.2755945435
153	0.2745724613
154	0.2730603554
155	0.2720954551
156	0.270917132
157	0.2698633495
158	0.2687566831
159	0.268005733
160	0.2670568576
161	0.2662725206
162	0.2653831792
163	0.2644245644
164	0.2634131877
165	0.2625662767
166	0.2615485124
167	0.2606001609
168	0.2598382713
169	0.2590747991
170	0.2583875345
171	0.2573253933
172	0.2562583381
173	0.2548773491
174	0.2543038952
175	0.2534364918
176	0.2526784827
177	0.2518509287
178	0.2511476235
179	0.2498424654
180	0.2486857719
181	0.247618399
182	0.2463643667
183	0.2453850483
184	0.2448264055
185	0.2442462496
