iter	Passed	Remaining
0	57	57656
1	60	30414
2	64	21340
3	67	16761
4	72	14374
5	76	12711
6	79	11310
7	83	10293
8	86	9497
9	89	8851
10	92	8335
11	96	7908
12	99	7547
13	102	7224
14	105	6942
15	108	6692
16	111	6472
17	115	6274
18	118	6104
19	121	5963
20	125	5828
21	128	5720
22	131	5598
23	134	5485
24	137	5377
25	140	5278
26	143	5185
27	146	5102
28	149	5020
29	153	4947
30	156	4876
31	158	4806
32	161	4743
33	164	4682
34	167	4630
35	170	4576
36	173	4523
37	176	4476
38	179	4431
39	182	4387
40	185	4346
41	188	4306
42	191	4268
43	197	4294
44	201	4271
45	204	4243
46	208	4231
47	211	4199
48	214	4168
49	218	4143
50	221	4113
51	224	4084
52	227	4060
53	230	4035
54	233	4009
55	236	3989
56	240	3971
57	243	3953
58	246	3932
59	249	3912
60	253	3895
61	256	3876
62	259	3859
63	262	3842
64	265	3824
65	269	3807
66	272	3791
67	276	3784
68	279	3768
69	282	3751
70	285	3735
71	288	3720
72	291	3704
73	294	3687
74	297	3673
75	300	3659
76	304	3647
77	307	3631
78	310	3616
79	313	3602
80	316	3590
81	319	3577
82	322	3563
83	325	3551
84	328	3539
85	331	3526
86	335	3518
87	338	3508
88	341	3499
89	345	3488
90	348	3479
91	351	3469
92	354	3458
93	357	3446
94	360	3435
95	363	3423
96	366	3413
97	369	3404
98	373	3394
99	376	3385
100	379	3374
101	382	3365
102	385	3357
103	388	3348
104	392	3343
105	396	3346
106	400	3343
107	405	3350
108	410	3357
109	414	3351
110	417	3344
111	420	3337
112	424	3329
113	427	3321
114	430	3312
115	433	3302
116	436	3294
117	439	3285
118	442	3276
119	445	3268
120	450	3274
121	455	3278
122	458	3271
123	461	3263
124	465	3256
125	468	3247
126	471	3241
127	474	3231
128	477	3224
129	480	3218
130	484	3211
131	489	3216
132	492	3210
133	495	3204
134	499	3199
135	502	3193
136	505	3186
137	511	3192
138	514	3189
139	518	3182
140	521	3179
141	526	3183
142	530	3179
143	533	3173
144	537	3167
145	540	3162
146	543	3156
147	547	3150
148	550	3145
149	554	3140
150	557	3132
151	560	3126
152	563	3119
153	566	3113
154	571	3117
155	576	3119
156	580	3115
157	583	3109
158	586	3103
159	591	3106
160	595	3102
161	598	3097
162	602	3091
163	605	3085
164	608	3078
165	611	3071
166	614	3065
167	617	3058
168	620	3051
169	623	3044
170	626	3037
171	629	3030
172	632	3025
173	635	3019
174	638	3012
175	642	3006
176	645	2999
177	648	2993
178	651	2987
179	654	2980
180	657	2973
181	660	2967
182	663	2961
183	666	2955
184	669	2950
185	672	2944
186	676	2939
187	679	2933
188	682	2927
189	685	2920
190	688	2914
191	691	2908
192	694	2903
193	697	2897
194	700	2890
195	703	2884
196	706	2878
197	709	2872
198	712	2866
199	714	2859
200	717	2854
201	721	2848
202	724	2843
203	727	2837
204	730	2832
205	733	2826
206	736	2820
207	739	2816
208	742	2809
209	745	2805
210	748	2799
211	751	2794
212	754	2789
213	758	2784
214	760	2778
215	763	2773
216	766	2767
217	770	2762
218	773	2757
219	776	2751
220	779	2745
221	782	2740
222	785	2736
223	790	2737
224	793	2732
225	796	2727
226	799	2722
227	802	2717
228	805	2712
229	808	2707
230	811	2702
231	814	2696
232	817	2691
233	820	2686
234	823	2681
235	826	2676
236	829	2670
237	832	2665
238	836	2663
239	839	2659
240	843	2655
241	846	2652
242	849	2647
243	852	2642
244	855	2637
245	857	2627
246	860	2622
247	863	2618
248	866	2613
249	869	2608
250	872	2603
251	875	2598
252	878	2594
253	881	2589
254	885	2585
255	888	2581
256	891	2576
